uid,name,organization_id,organization_id_source
10624,Stanford University School of Medicine,10624,RINGGOLD
6396,University of Oxford,6396,RINGGOLD
5209f7d3,UKRI Medical Research Council,5209f7d3,sha256
a34ebbe2,UK Dementia Research Institute,a34ebbe2,sha256
4615,Imperial College London,4615,RINGGOLD
8946,Imperial College Healthcare NHS Trust,8946,RINGGOLD
6397,Oxford University Hospitals NHS Trust,6397,RINGGOLD
1929,GlaxoSmithKline Plc,1929,RINGGOLD
66093,Oxford Centre for Functional Magnetic Resonance Imaging of the Brain,66093,RINGGOLD
5620,McGill University,5620,RINGGOLD
7938,University of Toronto,7938,RINGGOLD
7978,Centre for Addiction and Mental Health,7978,RINGGOLD
8244,Brandeis University,8244,RINGGOLD
27106,Karolinska Institutet,27106,RINGGOLD
34976,Weizmann Institute of Science,34976,RINGGOLD
26742,Hebrew University of Jerusalem,26742,RINGGOLD
ee9790b7,Università di Modena e Reggio Emilia,ee9790b7,sha256
19040,Scuola Internazionale Superiore di Studi Avanzati,19040,RINGGOLD
grid.5970.b,International School for Advanced Studies,grid.5970.b,GRID
27210,Universität Bern,27210,RINGGOLD
9302,Università degli Studi di Genova,9302,RINGGOLD
26747,Technion Israel Institute of Technology,26747,RINGGOLD
2167,Massachusetts Institute of Technology,2167,RINGGOLD
54588,Institute of Experimental Medicine,54588,RINGGOLD
1846,Boston University,1846,RINGGOLD
8456,Wellesley College,8456,RINGGOLD
12259,Boston University School of Medicine,12259,RINGGOLD
b0b11e6c,Ecole Polytechnique Federale de Lausanne (EPFL),b0b11e6c,sha256
https://ror.org/02p0gd045,Complutense University of Madrid,https://ror.org/02p0gd045,ROR
grid.39158.36,Hokkaido University,grid.39158.36,GRID
3b14d3cd,University of Toronto,3b14d3cd,sha256
1811,Harvard Medical School,1811,RINGGOLD
grid.240324.3,New York University Langone Medical Center,grid.240324.3,GRID
http://dx.doi.org/10.13039/100006962,NYU Langone Medical Center,http://dx.doi.org/10.13039/100006962,FUNDREF
4616,King's College London,4616,RINGGOLD
0f5a5767,King's College London,0f5a5767,sha256
27068,Université Pierre et Marie Curie,27068,RINGGOLD
246583,CNRS Délégation Paris B,246583,RINGGOLD
514e1c86,University College London,514e1c86,sha256
6614,University of Pittsburgh,6614,RINGGOLD
f749fc1c,Medical School University of Heidelberg,f749fc1c,sha256
6f02d65c,Special English Highschool,6f02d65c,sha256
c200701a,Elementary and Music School,c200701a,sha256
dfc94235,University Hospital Heidelberg,dfc94235,sha256
de09c5c2,Center for Molecular Biology,de09c5c2,sha256
93d67f05,Stanford University Medical Center,93d67f05,sha256
beba21db,University Hospital for Pediatrics,beba21db,sha256
f48139da,University Hospital for Psychiatry,f48139da,sha256
7864,Arizona State University,7864,RINGGOLD
12478,Fudan University,12478,RINGGOLD
2595,Cold Spring Harbor Laboratory,2595,RINGGOLD
2dfd3ed4,Universidad Politécnica de Madrid,2dfd3ed4,sha256
http://dx.doi.org/10.13039/501100004721,University of Tokyo,http://dx.doi.org/10.13039/501100004721,FUNDREF
https://ror.org/05f8a4p63,Tamagawa University,https://ror.org/05f8a4p63,ROR
57231792,"The Graduate University for Advanced Studies, SOKENDAI",57231792,sha256
grid.467811.d,生理学研究所/National Institute for Physiological Sciences,grid.467811.d,GRID
https://ror.org/01sjwvz98,RIKEN,https://ror.org/01sjwvz98,ROR
https://ror.org/048v13307,National Institute for Physiological Sciences,https://ror.org/048v13307,ROR
http://dx.doi.org/10.13039/100007135,University of Tennessee,http://dx.doi.org/10.13039/100007135,FUNDREF
6752,Brown University,6752,RINGGOLD
9a079994,Osaka University,9a079994,sha256
5b5420e1,National Institute for Physiological Sciences,5b5420e1,sha256
97885846,RIKEN,97885846,sha256
9317,Universita Campus Bio-Medico di Roma,9317,RINGGOLD
26657,Katholieke Universiteit Leuven,26657,RINGGOLD
9300,Universita degli Studi di Firenze,9300,RINGGOLD
246815,University of Florence,246815,RINGGOLD
9310,University of Pisa,9310,RINGGOLD
a6a4ee42,University of Florence,a6a4ee42,sha256
5209862d,National Institute of Optics (INO-CNR),5209862d,sha256
12902993,European Laboratory for Non-linear Spectroscopy,12902993,sha256
c414c63a,Institute of Clinical Physiology (IFC- CNR),c414c63a,sha256
150875,Institute of Photonics,150875,RINGGOLD
9144,Ruprecht Karls Universität Heidelberg,9144,RINGGOLD
3526,University of Glasgow,3526,RINGGOLD
1d5632ae,National Institute of Optics,1d5632ae,sha256
2181728c,European Laboratory for Nonlinear Spectroscopy,2181728c,sha256
3527,University of Strathclyde,3527,RINGGOLD
grid.8404.8,University of Florence,grid.8404.8,GRID
226476,Universita degli Studi di Firenze Laboratorio Europeo di Spettroscopie Non Lineari,226476,RINGGOLD
3884585b,National Research Council,3884585b,sha256
27051,Centre National de la Recherche Scientifique,27051,RINGGOLD
6429,Stanford University,6429,RINGGOLD
grid.5801.c,ETH Zürich,grid.5801.c,GRID
157122,Sendai-shi,157122,RINGGOLD
https://ror.org/04dkp9463,University of Amsterdam,https://ror.org/04dkp9463,ROR
93104,SRM University,93104,RINGGOLD
8368,Georgetown University,8368,RINGGOLD
9470,European Bioinformatics Institute (EMBL-EBI),9470,RINGGOLD
grid.10388.32,University of Bonn,grid.10388.32,GRID
90b86161,ZB MED – Information Centre for Life Sciences,90b86161,sha256
a90c3883,Universidad Nacional Abierta y a Distancia de Mexico,a90c3883,sha256
7180,Universidad Nacional Autónoma de México,7180,RINGGOLD
27870,Universidad Veracruzana,27870,RINGGOLD
42635,Instituto Nacional de Enfermedades Respiratorias,42635,RINGGOLD
http://dx.doi.org/10.13039/501100003141,Consejo Nacional de Ciencia y Tecnología,http://dx.doi.org/10.13039/501100003141,FUNDREF
61740,Centro de Ciencias Genómicas,61740,RINGGOLD
183381,Universidad Politécnica del Estado de Morelos,183381,RINGGOLD
7800,University of New South Wales,7800,RINGGOLD
4f290656,University of the Philippines,4f290656,sha256
https://ror.org/01x784220,Children's Cancer Institute Australia,https://ror.org/01x784220,ROR
grid.1005.4,UNSW Sydney,grid.1005.4,GRID
f4c2c04f,Translational Cancer Research Network,f4c2c04f,sha256
351e9bb0,Asia-Pacific Ubiquitous Healthcare Research Centre,351e9bb0,sha256
2fc89b2c,Beterinaryo sa Fort Animal Clinic,2fc89b2c,sha256
f100d95e,Wildlife in Need Rescue Center,f100d95e,sha256
26675,Singhealth,26675,RINGGOLD
56062,Universidade de Aveiro,56062,RINGGOLD
90a2655b,European Bioinformatics Institute,90a2655b,sha256
08574431,Imperial College London,08574431,sha256
https://ror.org/03angcq70,The University of Birmingham,https://ror.org/03angcq70,ROR
grid.507332.0,Health Data Research UK,grid.507332.0,GRID
1724,University of Birmingham,1724,RINGGOLD
grid.412563.7,University Hospitals Birmingham NHS Foundation Trust,grid.412563.7,GRID
1026,Aberystwyth University,1026,RINGGOLD
2152,University of Cambridge,2152,RINGGOLD
grid.420006.0,Medical Research Council Harwell,grid.420006.0,GRID
311308,Purdue University,311308,RINGGOLD
5972,University of Delaware,5972,RINGGOLD
4468,University of Leeds,4468,RINGGOLD
1c276063,University of Aveiro,1c276063,sha256
59207,Universidade Católica Portuguesa,59207,RINGGOLD
26706,Universidade do Porto,26706,RINGGOLD
54727,University of the Philippines Diliman,54727,RINGGOLD
73397,Istituto dalle Molle di Studi sull'Intelligenza Artificiale,73397,RINGGOLD
1a9d10c8,University of Zurich ,1a9d10c8,sha256
62d9efe5,University of Belgrade Faculty of Biology,62d9efe5,sha256
90775,Ontario Institute for Cancer Research,90775,RINGGOLD
56724,Universidad de la República Uruguay,56724,RINGGOLD
124158,Universidad de la República Facultad de Ciencias,124158,RINGGOLD
a798feaf,Eastern Regional University Center (CURE),a798feaf,sha256
grid.419529.2,Max Planck Institute for Marine Microbiology,grid.419529.2,GRID
98844,Programa de Desarrollo de las Ciencias Básicas,98844,RINGGOLD
6d307908,"Universidad de la Republica Uruguay, Facultad de Ciencias",6d307908,sha256
21611,Columbia University Medical Center,21611,RINGGOLD
86954201,University of Maryland,86954201,sha256
16767,Universitat Politècnica de Catalunya,16767,RINGGOLD
30259,Roche Basel Research Site,30259,RINGGOLD
435339,Boehringer Ingelheim Pharmaceuticals Inc,435339,RINGGOLD
58223,Pfizer Research Technology Center,58223,RINGGOLD
1068,University of Maryland at College Park,1068,RINGGOLD
c89b7103,Telefónica de España,c89b7103,sha256
c6f93042,Technical University of Denmark,c6f93042,sha256
196364,Technical University of Denmark Center for Biological Sequence Analysis,196364,RINGGOLD
1e435370,University of Copenhagen,1e435370,sha256
9471,European Molecular Biology Laboratory,9471,RINGGOLD
6684,Oregon Health and Science University,6684,RINGGOLD
6686,Reed College,6686,RINGGOLD
85f64ec8,Critcal Path Institute,85f64ec8,sha256
7e903951,"University of Colorado, Anschutz Medical Campus",7e903951,sha256
1a0185f6,Oregon Health & Science University,1a0185f6,sha256
55d04e5f,National University of Natural Medicine,55d04e5f,sha256
5cef34b4,Lausanne unversity hospital,5cef34b4,sha256
80bc09b1,Lausanne university hospital,80bc09b1,sha256
5fd88d00,Lausanne university,5fd88d00,sha256
http://dx.doi.org/10.13039/501100000845,"UCL Institute of Neurology, University College London",http://dx.doi.org/10.13039/501100000845,FUNDREF
14903,Charité Universitätsmedizin,14903,RINGGOLD
30635,Centre Hospitalier Universitaire Vaudois,30635,RINGGOLD
grid.419524.f,Max Planck Institute for Human Cognitive and Brain Sciences,grid.419524.f,GRID
1763,Simon Fraser University,1763,RINGGOLD
3e591a20,EPFL,3e591a20,sha256
6174,University of Southern Denmark,6174,RINGGOLD
e147ede0,Max Planck Institute of Colloids and Interfaces,e147ede0,sha256
4291b842,Accelrys,4291b842,sha256
269c613e,British Aerospace PLC,269c613e,sha256
9183,Ludwig-Maximilians-Universitat Munchen,9183,RINGGOLD
5803,Memorial Sloan-Kettering Cancer Center,5803,RINGGOLD
221044,Universität Innsbruck,221044,RINGGOLD
8075,Umea Universitet,8075,RINGGOLD
12228,Yale University School of Medicine,12228,RINGGOLD
12295,Joan and Sanford I Weill Medical College of Cornell University,12295,RINGGOLD
6b7079c8,Medical University of Graz,6b7079c8,sha256
c9f25d2b,University of Oxford,c9f25d2b,sha256
https://ror.org/04tnbqb63,The Francis Crick Institute,https://ror.org/04tnbqb63,ROR
https://ror.org/01hhn8329,Max Planck Society,https://ror.org/01hhn8329,ROR
8797,University College Dublin,8797,RINGGOLD
11238,American University of Beirut,11238,RINGGOLD
95f95071,Lebanese American University,95f95071,sha256
27217,Universität Zürich,27217,RINGGOLD
grid.15775.31,University of St. Gallen,grid.15775.31,GRID
2541,Monash University,2541,RINGGOLD
2281,University of Melbourne,2281,RINGGOLD
168370,Massachusetts Institute of Technology Department of Mathematics,168370,RINGGOLD
http://dx.doi.org/10.13039/501100001703,École Polytechnique Fédérale de Lausanne,http://dx.doi.org/10.13039/501100001703,FUNDREF
2219,Australian National University,2219,RINGGOLD
6927,University of Rochester,6927,RINGGOLD
1019,University of Aberdeen,1019,RINGGOLD
3270,Northwestern University,3270,RINGGOLD
366375,FZI Forschungszentrum Informatik,366375,RINGGOLD
6612,Carnegie Mellon University,6612,RINGGOLD
14915,Universität Hamburg,14915,RINGGOLD
9171,Friedrich-Alexander-Universität Erlangen-Nürnberg,9171,RINGGOLD
9184,Technische Universität München,9184,RINGGOLD
28438,Fraunhofer-Institut für Graphische Datenverarbeitung,28438,RINGGOLD
2fa54523,European Computer-industry Research Center,2fa54523,sha256
07780466,Digital Equipment Corporation,07780466,sha256
e1280e5f,University of Genova,e1280e5f,sha256
19005,Scuola Superiore Sant'Anna,19005,RINGGOLD
37580,National University of Singapore,37580,RINGGOLD
https://ror.org/019tgvf94,Université Côte d'Azur,https://ror.org/019tgvf94,ROR
153903,Mines Paris - PSL - Délégation de Sophia Antipolis,153903,RINGGOLD
e2a754ad,Ecole des Mines Saint-Étienne,e2a754ad,sha256
https://ror.org/05r0ccb59,École Nationale des Travaux Publics de l'État,https://ror.org/05r0ccb59,ROR
https://ror.org/042x1tp92,Fortiss,https://ror.org/042x1tp92,ROR
598190,Human Brain Project,598190,RINGGOLD
grid.6810.f,Chemnitz University of Technology,grid.6810.f,GRID
150232,Karlsruher Institut für Technologie,150232,RINGGOLD
https://ror.org/0378gm372,RheinMain University of Applied Sciences,https://ror.org/0378gm372,ROR
grid.4489.1,University of Granada,grid.4489.1,GRID
grid.5510.1,University of Oslo,grid.5510.1,GRID
27082,Université Jean Monnet Saint-Etienne,27082,RINGGOLD
3511,Høgskolen i Gjøvik,3511,RINGGOLD
121451,Istituto Italiano di Tecnologia,121451,RINGGOLD
f2340a19,Scuola Superiore Sant'Anna,f2340a19,sha256
b1fa07ef,Universita degli studi di Pisa,b1fa07ef,sha256
7984,Ryerson University,7984,RINGGOLD
grid.8158.4,University of Catania,grid.8158.4,GRID
9e887629,Institute for Systems and Robotics of Instituto Superior Técnico,9e887629,sha256
grid.83440.3b,University College London,grid.83440.3b,GRID
24b8f5bf,thesify SA,24b8f5bf,sha256
7839,Tampere University of Technology,7839,RINGGOLD
https://ror.org/033003e23,Tampere University,https://ror.org/033003e23,ROR
8c23bf27,Tampere University,8c23bf27,sha256
d4034153,Simula Research Laboratory,d4034153,sha256
b2c89d9f,University of Oslo,b2c89d9f,sha256
28282,Max-Planck-Institut für biophysikalische Chemie,28282,RINGGOLD
013cabae,Dnepropetrovsk National University,013cabae,sha256
84922,Georg-August-Universität Göttingen Universitätsmedizin,84922,RINGGOLD
12442,Tsinghua University,12442,RINGGOLD
12443,Huazhong University of Science and Technology,12443,RINGGOLD
27209,University of Basel,27209,RINGGOLD
grid.6312.6,Universidade de Vigo,grid.6312.6,GRID
http://dx.doi.org/10.13039/501100004047,Karolinska Institutet,http://dx.doi.org/10.13039/501100004047,FUNDREF
08e56039,"Krasnow Institute, George Mason University",08e56039,sha256
6a7ea77e,KTH Royal Institute of Technology,6a7ea77e,sha256
c07bb0ce,"Karolinska Institutet (50%), KTH (50%) ",c07bb0ce,sha256
07109061,"Karolinska Institute (50%), KTH (50%)",07109061,sha256
82248a10,Karolinska Institutet,82248a10,sha256
grid.10548.38,Stockholm University,grid.10548.38,GRID
7655,Kungliga Tekniska Högskolan,7655,RINGGOLD
29689,Devi Ahilya Vishwavidyalaya,29689,RINGGOLD
grid.7400.3,University of Zurich,grid.7400.3,GRID
29145,National Centre for Biological Sciences,29145,RINGGOLD
a813b0ad,Atos Origin,a813b0ad,sha256
https://ror.org/01xtthb56,University of Oslo,https://ror.org/01xtthb56,ROR
grid.4714.6,Karolinska Institute,grid.4714.6,GRID
e8d37141,Xiwrite Srl,e8d37141,sha256
http://dx.doi.org/10.13039/501100004296,Seconda Università degli Studi di Napoli,http://dx.doi.org/10.13039/501100004296,FUNDREF
18800,Telecom Italia,18800,RINGGOLD
fdb0ab21,EPOS International,fdb0ab21,sha256
47808,"Unisys Corporation, Italy",47808,RINGGOLD
165454,Università degli Studi di Firenze Scuola di Scienze Politiche Cesare Alfieri,165454,RINGGOLD
18348,Istituto Affari Internazionali,18348,RINGGOLD
16771,Universidad Politécnica de Madrid - Technical University of Madrid,16771,RINGGOLD
5ae5b37c,University of Pavia,5ae5b37c,sha256
https://ror.org/00s6t1f81,University of Pavia,https://ror.org/00s6t1f81,ROR
grid.8982.b,University of Pavia,grid.8982.b,GRID
19001,Università degli Studi di Pavia,19001,RINGGOLD
18632,Fondazione Istituto Neurologico Nazionale C Mondino Istituto di Ricovero e Cura a Carattere Scientifico,18632,RINGGOLD
https://ror.org/04pp8hn57,Utrecht University,https://ror.org/04pp8hn57,ROR
https://ror.org/02qz8b764,Cold Spring Harbor Laboratory,https://ror.org/02qz8b764,ROR
https://ror.org/05csn2x06,Netherlands Institute for Neuroscience,https://ror.org/05csn2x06,ROR
27079,Université de Rennes 1 - Campus de Beaulieu,27079,RINGGOLD
https://ror.org/04ers2y35,University of Bremen,https://ror.org/04ers2y35,ROR
https://ror.org/05a28rw58,ETH Zurich,https://ror.org/05a28rw58,ROR
https://ror.org/03prydq77,University of Vienna,https://ror.org/03prydq77,ROR
9101c1c8,Max-Planck-Institut für Marine Mikrobiologie,9101c1c8,sha256
c8ad7a23,Spiez Laboratory,c8ad7a23,sha256
29491,Indian Institute of Technology Bombay,29491,RINGGOLD
8a2ef3d0,SIES Graduate School of Technology,8a2ef3d0,sha256
https://ror.org/043hw6336,Institut de Neurosciences de la Timone,https://ror.org/043hw6336,ROR
55535,Institut des Neurosciences Paris-Saclay,55535,RINGGOLD
a509d5e0,Tech Shiksha,a509d5e0,sha256
grid.465122.6,Tech Mahindra (India),grid.465122.6,GRID
4853c5b9,Skolkovo Institute of Science and Technology (Skoltech),4853c5b9,sha256
4d5af989,Moscow Institute of Physics and Technology,4d5af989,sha256
https://ror.org/03dr7j353,Biognosys (Switzerland),https://ror.org/03dr7j353,ROR
4a1e84aa,"Blue Brain Project, Ecole polytechnique fédérale de Lausanne",4a1e84aa,sha256
http://dx.doi.org/10.13039/501100005736,Université Paris Diderot,http://dx.doi.org/10.13039/501100005736,FUNDREF
https://ror.org/050gn5214,Institut du Cerveau,https://ror.org/050gn5214,ROR
fa2a87d8,Orobix Srl,fa2a87d8,sha256
29050,National Brain Research Centre,29050,RINGGOLD
https://ror.org/05hy3tk52,École Polytechnique,https://ror.org/05hy3tk52,ROR
9c72aeaa,Onward Medical SA,9c72aeaa,sha256
72620ef8,University of Ottawa,72620ef8,sha256
18981,Politecnico di Milano,18981,RINGGOLD
https://ror.org/01nzkaw91,Research Centre Inria Sophia Antipolis - Méditerranée,https://ror.org/01nzkaw91,ROR
189903e8,Datawizard,189903e8,sha256
350a8c75,Amanotes,350a8c75,sha256
6633,University of Plymouth,6633,RINGGOLD
74498,SUNY Downstate Medical Center College of Medicine,74498,RINGGOLD
http://dx.doi.org/10.13039/100009740,SUNY Downstate Medical Center,http://dx.doi.org/10.13039/100009740,FUNDREF
http://dx.doi.org/10.13039/100006941,NYU Polytechnic School of Engineering,http://dx.doi.org/10.13039/100006941,FUNDREF
214904,SUNY Downstate Medical Center School of Graduate Studies,214904,RINGGOLD
1466,Johns Hopkins University,1466,RINGGOLD
115280,UCSF Department of Bioengineering,115280,RINGGOLD
4895dc0f,CatalystNeuro,4895dc0f,sha256
3925,University of Tasmania,3925,RINGGOLD
grid.1008.9,The University of Melbourne,grid.1008.9,GRID
7cc2541f,Univesity of Melbourne,7cc2541f,sha256
56369,Florey Institute of Neuroscience and Mental Health,56369,RINGGOLD
98487,University of Melbourne Faculty of Science,98487,RINGGOLD
0a2dbb07,Praxis Precision Medicines,0a2dbb07,sha256
117585,Centre for Eye Research Australia Ltd,117585,RINGGOLD
8fdb1ffb,The Florey Institute of Neuroscience and Mental Health,8fdb1ffb,sha256
1974,University of Queensland,1974,RINGGOLD
34361,Murdoch Childrens Research Institute,34361,RINGGOLD
https://ror.org/01ej9dk98,University of Melbourne,https://ror.org/01ej9dk98,ROR
96003,Bionics Institute,96003,RINGGOLD
grid.150338.c,University Hospital of Geneva,grid.150338.c,GRID
1984584e,University of Antwerp,1984584e,sha256
5017c45f,University of Bologna,5017c45f,sha256
b371338d,Liceo Scientifico Giovanni Spano,b371338d,sha256
https://ror.org/01bnjbv91,University of Sassari,https://ror.org/01bnjbv91,ROR
abe7e49d,Institute of NeuroInformatics,abe7e49d,sha256
778421eb,University of Sassari,778421eb,sha256
512327eb,Institute of Biophysics,512327eb,sha256
0564a98b,Fondazione IRCCS C. Mondino,0564a98b,sha256
331097,Università degli Studi di Milano-Bicocca Dipartimento di Fisica G Occhialini,331097,RINGGOLD
6572,University of Pennsylvania,6572,RINGGOLD
3607bc25,Universidade de São Paulo,3607bc25,sha256
67887,Universidade de São Paulo,67887,RINGGOLD
28133,Universidade de São Paulo,28133,RINGGOLD
488583,Universidade Federal do ABC,488583,RINGGOLD
6ee967b0,Informatec,6ee967b0,sha256
9c186750,UMR 5297 CNRS,9c186750,sha256
grid.7445.2,Imperial College London,grid.7445.2,GRID
fa984841,Blue Brain Project (BBP) | Swiss Federal Institute of Technology Lausanne (EPFL),fa984841,sha256
d2b6f35d,NCCR LIVES | University of Geneva (UNIGE),d2b6f35d,sha256
7d2c08d9,School of Business Administration (HEG-GE) | HES-SO ,7d2c08d9,sha256
41755,Airbus UK,41755,RINGGOLD
9697f8d5,University Medical Center Mainz,9697f8d5,sha256
https://ror.org/01qb1sw63,Enrico Fermi Center for Study and Research,https://ror.org/01qb1sw63,ROR
27011,Université de Bourgogne,27011,RINGGOLD
8783,University of California Los Angeles,8783,RINGGOLD
4d43c888,Vienna University of  Technology,4d43c888,sha256
12312,Drexel University College of Medicine,12312,RINGGOLD
grid.22937.3d,Medical University of Vienna,grid.22937.3d,GRID
grid.5329.d,Vienna University of Technology,grid.5329.d,GRID
https://ror.org/04bdffz58,Drexel University,https://ror.org/04bdffz58,ROR
077c83c5,University of Edinburgh,077c83c5,sha256
130376,EPFL Institute of Bioengineering,130376,RINGGOLD
https://ror.org/00twb6c09,Riga Technical University,https://ror.org/00twb6c09,ROR
6f93ef6f,Karolinska Institute,6f93ef6f,sha256
382e7ba0,University of Tartu,382e7ba0,sha256
grid.7468.d,Humboldt University of Berlin,grid.7468.d,GRID
https://ror.org/049peqw80,San Francisco VA Medical Center,https://ror.org/049peqw80,ROR
bf4e5164,"University of California, San Diego",bf4e5164,sha256
3f3781cd,Hypothesis,3f3781cd,sha256
7423,University of Southampton,7423,RINGGOLD
5112,Los Alamos National Laboratory,5112,RINGGOLD
https://ror.org/01w0d5g70,University of Missouri–Kansas City,https://ror.org/01w0d5g70,ROR
b448fa47,Univeristy of Pennsylvania,b448fa47,sha256
2392,Widener University,2392,RINGGOLD
8082,Pennsylvania State University,8082,RINGGOLD
e92e8268,University of Cambridge,e92e8268,sha256
56866,University of South Africa,56866,RINGGOLD
37716,University of Cape Town,37716,RINGGOLD
https://ror.org/02crff812,University of Zurich,https://ror.org/02crff812,ROR
https://ror.org/0561a3s31,University of St. Gallen,https://ror.org/0561a3s31,ROR
9376,Otto von Guericke Universität Magdeburg,9376,RINGGOLD
93a001ea,Babraham Institute,93a001ea,sha256
199468,Vrije Universiteit Amsterdam Center for Neurogenomics and Cognitive Research,199468,RINGGOLD
26487,Northwestern Polytechnical University,26487,RINGGOLD
6ef193bf,University of Tübingen,6ef193bf,sha256
bdcc94a0,ETH Zurich,bdcc94a0,sha256
